track_name,album_name,artist_names,release_date,isrc,all_time_rank,track_score,spotify_streams,spotify_playlist_count,spotify_playlist_reach,spotify_popularity,youtube_views,youtube_likes,tiktok_posts,tiktok_likes,tiktok_views,youtube_playlist_reach,apple_music_playlist_count,airplay_spins,siriusxm_spins,deezer_playlist_count,deezer_playlist_reach,amazon_playlist_count,pandora_streams,pandora_track_stations,soundcloud_streams,shazam_counts,tidal_popularity,explicit_track
million dollar baby,Million Dollar Baby - Single,tommy richman,2024-04-26,QM24S2402528,1,725.4,390470936.0,30716,196631588,92,84274754,1713126,5767700,651565900,5332281936,150597040,210,40975,684,62,17598718,114,18004655,22931,4818457,2669262,,0
not like us,Not Like Us,kendrick lamar,2024-05-04,USUG12400910,2,545.9,323703884.0,28113,174597137,92,116347040,3486739,674700,35223547,208339025,156380351,188,40778,3,67,10422430,111,7780028,28444,6623075,1118279,,1
i like the way you kiss me,I like the way you kiss me,artemas,2024-03-19,QZJ842400387,3,538.4,601309283.0,54331,211607669,92,122599116,2228730,3025400,275154237,3369120610,373784955,190,74333,536,136,36321847,172,5022621,5639,7208651,5285340,,0
flowers,Flowers - Single,miley cyrus,2023-01-12,USSM12209777,4,444.9,2031280633.0,269802,136569078,85,1096100899,10629796,7189811,1078757968,14603725994,3351188582,394,1474799,2182,264,24684248,210,190260277,203384,,11822942,,0
houdini,Houdini,eminem,2024-05-31,USUG12403398,5,423.3,107034922.0,7223,151469874,88,77373957,3670188,16400,,,112763851,182,12185,1,82,17660624,105,4493884,7006,207179,457017,,1
lovin on me,Lovin On Me,jack harlow,2023-11-10,USAT22311371,6,410.1,670665438.0,105892,175421034,83,131148091,1392593,4202367,214943489,2938686633,2867222632,138,522042,4654,86,17167254,152,138529362,50982,9438601,4517131,,1
beautiful things,Beautiful Things,benson boone,2024-01-18,USWB12307016,7,407.2,900158751.0,73118,201585714,86,308723145,4120760,,29584940,534915313,4601579812,280,383478,429,168,48197850,154,65447476,57372,,9990302,,0
gata only,Gata Only,floyymenor,2024-02-02,QZL382406049,8,375.8,675079153.0,40094,211236940,92,228382568,1439495,3500000,338546668,3804584163,2112581620,160,17221,30,87,33245595,53,3372428,5762,,6063523,,1
danza kuduro - cover,ýýýýýýýýýýýýýýýýýýýýý - ýýýýýýýýýýýýýýýýýý -,music lab jpn,2024-06-09,TCJPA2463708,9,355.7,1653018119.0,1,15,,,,,,,,,,,,,,,,,,,1
band4band (feat. lil baby),BAND4BAND (feat. Lil Baby),central cee,2024-05-23,USSM12404354,10,330.6,90676573.0,10400,184199419,86,32735244,988682,325800,121574500,974656200,174706874,191,3823,117,78,10800098,92,1005626,842,3679709,666302,,1
i had some help (feat. morgan wallen),I Had Some Help,post malone,2024-05-10,USUM72404990,11,322.1,250080413.0,16219,168766158,91,32229063,550191,,184500,2100000,327130768,157,62312,71,60,12009073,114,23155471,21172,1594605,963413,,1
the door,The Door,teddy swims,2024-06-14,USWB12402486,12,320.2,111155129.0,2,263767,,,,,,,,,,,,,2,,,,,,1
lunch,HIT ME HARD AND SOFT,billie eilish,2024-05-17,USUM72401991,13,316.3,221636195.0,13800,197280692,92,40022524,1307290,195300,45889000,360017000,342107131,244,41344,45,138,38243636,163,1354692,1219,1313357,450344,,0
like that,WE DON'T TRUST YOU,future,2024-03-22,USSM12402041,14,308.2,355186436.0,43025,108168634,88,98081493,1456177,,,,174491415,153,90237,3,55,3001826,109,26252264,18364,12038034,1963314,,1
bathroom floor,bathroom floor,kids with buns,2022-10-07,NLC242100307,15,301.6,297185.0,277,24445,12,6736502312,16785489,3,1088,22234,,1,1057,,,,,,,,3288,,0
lala,LALA - Single,myke towers,2023-03-22,USWL12300002,16,299.9,925655569.0,103605,79944921,79,934302031,4294166,11054500,521725116,7499234052,2042145659,94,92231,228,60,5633435,83,12171026,13242,871978,2765808,,1
fortnight (feat. post malone),THE TORTURED POETS DEPARTMENT,taylor swift,2024-04-18,USUG12401028,17,297.6,395433400.0,12784,177932568,89,104673836,2484083,139300,25348800,207317000,268893710,221,129968,3,99,37988531,134,9961769,13437,377734,1210029,,0
greedy,greedy,tate mcrae,2023-09-14,USRC12301932,18,293.7,1258569694.0,105218,198845580,87,141646818,1514837,2294429,419319161,5456156211,2667285437,207,667329,3310,188,21788568,150,44850379,12270,,6973652,,1
blue,HIT ME HARD AND SOFT,billie eilish,2024-05-17,USUM72401996,19,292.6,91272461.0,6499,52287548,86,16038053,569377,941900,119740900,1225345800,5839168,76,181,1,24,5054005,33,283089,162,975891,257661,,0
as it was,As It Was,harry styles,2022-03-31,USSM12200612,20,292.0,3301814535.0,407119,169783402,87,800899315,9101589,2755903,1633970617,15405881843,7289707052,455,1777811,4909,330,12907852,189,132624772,79909,,14967379,,0
paint the town red,Paint The Town Red,doja cat,2023-08-04,USRC12300907,21,290.5,1065399331.0,170890,121712197,78,240970670,2749668,3091732,652428798,7095564106,1063591802,158,400899,273,143,13718632,146,70291476,49111,,7559816,,1
